交易日期,收盘价,S1上轨(20高),S1下轨(20低),S2上轨(55高),S2下轨(55低),ATR(20),做多开仓,做空开仓,多单加仓,空单加仓,平多仓,平空仓,持仓单位数,净持仓股数,累计收益率,策略净值,回撤幅度
2025-07-04,265.8,,,,,9.0,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-07,260.89,,,,,9.049999999999999,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-08,263.31,,,,,8.901499999999999,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-09,270.8,,,,,9.074424999999996,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-10,272.0,,,,,8.945203749999996,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-11,271.5,,,,,8.692943562499995,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-14,268.5,,,,,8.528296384374993,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-15,267.75,,,,,8.426881565156243,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-16,264.4,,,,,8.288537486898429,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-17,265.5,,,,,8.043610612553506,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-18,271.2,,,,,7.9889300819258295,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-21,279.66,,,,,8.129483577829538,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-22,286.66,,,,,8.264009398938061,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-23,287.02,,,,,8.058808928991159,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-24,285.2,,,,,7.970368482541598,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-25,282.8,,,,,7.7443500584145175,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-28,286.3,,,,,7.74663255549379,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-29,291.82,,,,,7.644300927719099,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-30,277.09,,,,,8.054085881333142,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-07-31,264.62,,,,,8.519381587266485,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-01,263.07,292.2,258.88,,,8.285912507903161,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-04,266.48,292.2,258.88,,,8.186616882508003,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-05,265.7,292.2,259.82,,,8.052286038382602,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-06,265.0,292.2,261.7,,,7.83317173646347,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-07,263.05,292.2,261.7,,,7.656013149640297,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-08,263.48,292.2,261.7,,,7.4807124921582835,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-11,263.66,292.2,261.7,,,7.289176867550368,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-12,263.25,292.2,261.7,,,7.297718024172848,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-13,273.6,292.2,257.72,,,7.520332122964206,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-14,279.89,292.2,257.72,,,7.564315516815994,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
2025-08-15,280.67,292.2,257.72,,,7.496099740975193,False,False,False,False,False,False,0,0,0.0,1000000.0,0.0
