股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
300750.SZ,2025-07-04,265.01,269.98,260.98,265.8,262.59,3.21,1.2224,272060.13,7214227.943
300750.SZ,2025-07-07,265.8,268.88,258.88,260.89,265.8,-4.91,-1.8473,174664.98,4568972.965
300750.SZ,2025-07-08,260.7,265.9,259.82,263.31,260.89,2.42,0.9276,155922.92,4104293.094
300750.SZ,2025-07-09,262.2,274.46,262.1,270.8,263.31,7.49,2.8446,293883.71,7948423.739
300750.SZ,2025-07-10,274.99,274.99,268.5,272.0,270.8,1.2,0.4431,242393.49,6594201.202
300750.SZ,2025-07-11,271.5,274.0,270.1,271.5,272.0,-0.5,-0.1838,213281.53,5798544.034
300750.SZ,2025-07-14,271.0,271.32,266.1,268.5,271.5,-3.0,-1.105,149788.84,4013693.003
300750.SZ,2025-07-15,268.5,272.5,266.0,267.75,268.5,-0.75,-0.2793,169526.49,4553827.628
300750.SZ,2025-07-16,268.5,268.7,263.04,264.4,267.75,-3.35,-1.2512,156264.79,4135841.242
300750.SZ,2025-07-17,265.37,267.75,264.36,265.5,264.4,1.1,0.416,145110.17,3852746.251
300750.SZ,2025-07-18,268.7,272.45,265.8,271.2,265.5,5.7,2.1469,221865.58,5981601.235
300750.SZ,2025-07-21,277.0,282.0,273.55,279.66,271.2,8.46,3.1195,324862.75,9047295.149
300750.SZ,2025-07-22,280.0,290.0,279.18,286.66,279.66,7.0,2.503,333090.29,9468912.161
300750.SZ,2025-07-23,288.16,290.75,286.59,287.02,286.66,0.36,0.1256,200189.74,5772653.126
300750.SZ,2025-07-24,289.0,289.2,282.91,285.2,287.02,-1.82,-0.6341,223891.14,6394082.072
300750.SZ,2025-07-25,285.2,285.2,281.75,282.8,285.2,-2.4,-0.8415,134326.01,3802835.26
300750.SZ,2025-07-28,283.02,289.09,281.3,286.3,282.8,3.5,1.2376,238973.36,6830867.029
300750.SZ,2025-07-29,286.7,292.0,286.68,291.82,286.3,5.52,1.928,233945.55,6785427.583
300750.SZ,2025-07-30,292.2,292.2,276.36,277.09,291.82,-14.73,-5.0476,415943.01,11712764.593
300750.SZ,2025-07-31,280.8,281.98,264.62,264.62,277.09,-12.47,-4.5003,447103.55,12088514.551
300750.SZ,2025-08-01,264.8,266.6,262.75,263.07,264.62,-1.55,-0.5857,252500.02,6682814.646
300750.SZ,2025-08-04,263.0,268.0,261.7,266.48,263.07,3.41,1.2962,237681.68,6286238.371
300750.SZ,2025-08-05,267.5,269.0,263.5,265.7,266.48,-0.78,-0.2927,219760.4,5844478.67
300750.SZ,2025-08-06,265.22,266.9,263.23,265.0,265.7,-0.7,-0.2635,153233.11,4058482.396
300750.SZ,2025-08-07,265.0,266.49,262.2,263.05,265.0,-1.95,-0.7358,165481.04,4363462.114
300750.SZ,2025-08-08,264.0,266.16,262.01,263.48,263.05,0.43,0.1635,174282.16,4604736.203
300750.SZ,2025-08-11,263.48,266.15,262.5,263.66,263.48,0.18,0.0683,213308.76,5627553.11
300750.SZ,2025-08-12,263.5,265.18,257.72,263.25,263.66,-0.41,-0.1555,222407.39,5829140.856
300750.SZ,2025-08-13,264.77,275.0,264.51,273.6,263.25,10.35,3.9316,394667.69,10661084.797
300750.SZ,2025-08-14,276.89,282.0,274.48,279.89,273.6,6.29,2.299,371707.57,10378442.059
300750.SZ,2025-08-15,278.38,282.3,276.1,280.67,279.89,0.78,0.2787,241091.69,6735591.187
300750.SZ,2025-08-18,280.67,285.48,278.02,283.0,280.67,2.33,0.8302,285287.93,8056186.542
300750.SZ,2025-08-19,283.0,284.0,276.22,277.8,283.0,-5.2,-1.8375,244285.85,6816442.573
300750.SZ,2025-08-20,277.5,279.99,272.05,279.2,276.8,2.4,0.8671,233534.92,6414344.337
300750.SZ,2025-08-21,279.27,281.8,278.0,279.0,279.2,-0.2,-0.0716,182698.14,5103914.721
300750.SZ,2025-08-22,278.93,289.35,278.6,287.18,279.0,8.18,2.9319,264218.51,7543698.628
300750.SZ,2025-08-25,290.0,293.88,286.78,290.28,287.18,3.1,1.0795,312297.2,9046692.965
300750.SZ,2025-08-26,287.02,290.99,285.58,289.5,290.28,-0.78,-0.2687,230244.62,6648848.315
300750.SZ,2025-08-27,289.0,289.54,278.19,278.3,289.5,-11.2,-3.8687,382584.29,10859010.3
300750.SZ,2025-08-28,276.06,278.99,272.72,277.41,278.3,-0.89,-0.3198,304664.01,8407974.991
300750.SZ,2025-08-29,278.31,316.66,277.95,306.18,277.41,28.77,10.3709,780138.92,23482893.637
300750.SZ,2025-09-01,306.5,306.9,299.3,304.0,306.18,-2.18,-0.712,429964.21,13012795.663
300750.SZ,2025-09-02,304.03,311.1,299.03,302.87,304.0,-1.13,-0.3717,371168.89,11289093.083
300750.SZ,2025-09-03,303.5,311.65,303.03,309.0,302.87,6.13,2.024,508974.73,15640548.986
300750.SZ,2025-09-04,313.47,323.33,300.63,304.03,309.0,-4.97,-1.6084,657547.54,20442631.453
300750.SZ,2025-09-05,299.9,325.11,299.82,325.11,304.03,21.08,6.9335,708197.79,22440211.716
300750.SZ,2025-09-08,334.0,337.65,323.5,325.37,325.11,0.26,0.08,588345.78,19349632.049
300750.SZ,2025-09-09,322.8,334.58,317.16,320.0,325.37,-5.37,-1.6504,434023.97,14085497.658
300750.SZ,2025-09-10,317.99,322.0,313.0,316.04,320.0,-3.96,-1.2375,367526.83,11649703.595
300750.SZ,2025-09-11,315.55,322.98,309.04,322.55,316.04,6.51,2.0599,380344.6,12060756.827
300750.SZ,2025-09-12,325.9,329.9,322.2,325.0,322.55,2.45,0.7596,338713.16,11031032.653
300750.SZ,2025-09-15,346.01,371.52,344.02,354.7,325.0,29.7,9.1385,718410.23,25586615.241
300750.SZ,2025-09-16,356.11,359.0,348.5,353.42,354.7,-1.28,-0.3609,377444.65,13325722.242
300750.SZ,2025-09-17,356.8,381.88,354.0,377.1,353.42,23.68,6.7002,543771.0,20113064.234
300750.SZ,2025-09-18,374.59,380.0,360.8,366.89,377.1,-10.21,-2.7075,518896.9,19308545.614
300750.SZ,2025-09-19,365.0,375.71,361.72,368.49,366.89,1.6,0.4361,339148.86,12515443.887
300750.SZ,2025-09-22,370.5,372.72,362.78,370.05,368.49,1.56,0.4233,285277.63,10474484.764
300750.SZ,2025-09-23,368.0,376.96,360.0,368.15,370.05,-1.9,-0.5134,348493.15,12813882.35
300750.SZ,2025-09-24,371.0,380.0,366.06,379.93,368.15,11.78,3.1998,383145.48,14311189.086
300750.SZ,2025-09-25,376.6,402.59,376.47,392.85,379.93,12.92,3.4006,466393.38,18251421.708
300750.SZ,2025-09-26,392.02,399.99,380.0,380.4,392.85,-12.45,-3.1691,362633.26,14106499.742
300750.SZ,2025-09-29,386.34,399.89,386.01,397.37,380.4,16.97,4.4611,389647.45,15381134.07
300750.SZ,2025-09-30,396.0,408.88,396.0,402.0,397.37,4.63,1.1652,330313.1,13278445.667
300750.SZ,2025-10-09,399.98,424.36,399.74,409.89,402.0,7.89,1.9627,412088.23,16989122.538
300750.SZ,2025-10-10,401.0,403.8,379.01,381.95,409.89,-27.94,-6.8165,533117.98,20684330.795
300750.SZ,2025-10-13,362.86,384.6,362.86,374.5,381.95,-7.45,-1.9505,471509.98,17618650.277
300750.SZ,2025-10-14,381.0,385.8,355.77,358.0,374.5,-16.5,-4.4059,496399.39,18319370.881
300750.SZ,2025-10-15,358.5,369.71,354.76,369.3,358.0,11.3,3.1564,369933.55,13383852.917
300750.SZ,2025-10-16,367.5,373.9,364.5,368.5,369.3,-0.8,-0.2166,276294.67,10185159.269
300750.SZ,2025-10-17,367.5,375.0,356.99,358.14,368.5,-10.36,-2.8114,319057.61,11588825.855
