交易日期,收盘价,MA20,MA60,信号(1买/-1卖/0无),持仓状态,策略日收益率,累计收益率,策略净值,回撤幅度
2025-07-04,265.8,265.8,265.8,0,0,,,,
2025-07-07,260.89,263.345,263.345,0,0,-0.0,0.0,100000.0,0.0
2025-07-08,263.31,263.3333333333333,263.3333333333333,0,0,0.0,0.0,100000.0,0.0
2025-07-09,270.8,265.2,265.2,0,0,0.0,0.0,100000.0,0.0
2025-07-10,272.0,266.56,266.56,0,0,0.0,0.0,100000.0,0.0
2025-07-11,271.5,267.3833333333333,267.3833333333333,0,0,-0.0,0.0,100000.0,0.0
2025-07-14,268.5,267.54285714285714,267.54285714285714,0,0,-0.0,0.0,100000.0,0.0
2025-07-15,267.75,267.56875,267.56875,0,0,-0.0,0.0,100000.0,0.0
2025-07-16,264.4,267.21666666666664,267.21666666666664,0,0,-0.0,0.0,100000.0,0.0
2025-07-17,265.5,267.04499999999996,267.04499999999996,0,0,0.0,0.0,100000.0,0.0
2025-07-18,271.2,267.4227272727273,267.4227272727273,0,0,0.0,0.0,100000.0,0.0
2025-07-21,279.66,268.4425,268.4425,0,0,0.0,0.0,100000.0,0.0
2025-07-22,286.66,269.8438461538462,269.8438461538462,0,0,0.0,0.0,100000.0,0.0
2025-07-23,287.02,271.07071428571425,271.07071428571425,0,0,0.0,0.0,100000.0,0.0
2025-07-24,285.2,272.0126666666667,272.0126666666667,0,0,-0.0,0.0,100000.0,0.0
2025-07-25,282.8,272.686875,272.686875,0,0,-0.0,0.0,100000.0,0.0
2025-07-28,286.3,273.48764705882354,273.48764705882354,0,0,0.0,0.0,100000.0,0.0
2025-07-29,291.82,274.50611111111107,274.50611111111107,0,0,0.0,0.0,100000.0,0.0
2025-07-30,277.09,274.6421052631579,274.6421052631579,0,0,-0.0,0.0,100000.0,0.0
2025-07-31,264.62,274.14099999999996,274.14099999999996,0,0,-0.0,0.0,100000.0,0.0
2025-08-01,263.07,274.0045,273.61380952380955,1,1,-0.005857455974605186,-0.005857455974605186,99414.25440253947,-0.005857455974605254
2025-08-04,266.48,274.284,273.2895454545455,0,1,0.012962329418025664,0.0070289471695259564,100702.89471695259,0.0
2025-08-05,265.7,274.4035,272.9595652173913,0,1,-0.002927048934254106,0.004081324162950262,100408.13241629503,-0.002927048934254106
