交易日期,收盘价,上轨(前55日高),下轨(前27日低),ATR,信号(1买/-1卖/0无),持仓(1/0),退出原因,策略日收益率,累计收益率,策略净值,回撤幅度
2025-07-04,265.8,,,9.0,0,0,,0.0,0.0,100000.0,0.0
2025-07-07,260.89,,,9.018181818181818,0,0,,0.0,0.0,100000.0,0.0
2025-07-08,263.31,,,8.964760330578512,0,0,,0.0,0.0,100000.0,0.0
2025-07-09,270.8,,,9.02649196093163,0,0,,0.0,0.0,100000.0,0.0
2025-07-10,272.0,,,8.980373925278327,0,0,,0.0,0.0,100000.0,0.0
2025-07-11,271.5,,,8.888003490273267,0,0,,0.0,0.0,100000.0,0.0
2025-07-14,268.5,,,8.824585244995571,0,0,,0.0,0.0,100000.0,0.0
2025-07-15,267.75,,,8.782320058722924,0,0,,0.0,0.0,100000.0,0.0
2025-07-16,264.4,,,8.72555060310978,0,0,,0.0,0.0,100000.0,0.0
2025-07-17,265.5,,,8.628540592144146,0,0,,0.0,0.0,100000.0,0.0
2025-07-18,271.2,,,8.598021672286979,0,0,,0.0,0.0,100000.0,0.0
2025-07-21,279.66,,,8.638057641881762,0,0,,0.0,0.0,100000.0,0.0
2025-07-22,286.66,,,8.677729321120275,0,0,,0.0,0.0,100000.0,0.0
2025-07-23,287.02,,,8.595588788008998,0,0,,0.0,0.0,100000.0,0.0
2025-07-24,285.2,,,8.553668991863379,0,0,,0.0,0.0,100000.0,0.0
2025-07-25,282.8,,,8.460875010193135,0,0,,0.0,0.0,100000.0,0.0
2025-07-28,286.3,,,8.448677282735078,0,0,,0.0,0.0,100000.0,0.0
2025-07-29,291.82,,,8.398701332139895,0,0,,0.0,0.0,100000.0,0.0
2025-07-30,277.09,,,8.533997671555532,0,0,,0.0,0.0,100000.0,0.0
2025-07-31,264.62,,,8.694470441163613,0,0,,0.0,0.0,100000.0,0.0
2025-08-01,263.07,,,8.606389160415183,0,0,,0.0,0.0,100000.0,0.0
2025-08-04,266.48,,,8.564454812043998,0,0,,0.0,0.0,100000.0,0.0
2025-08-05,265.7,,,8.508737451825017,0,0,,0.0,0.0,100000.0,0.0
2025-08-06,265.0,,,8.420760407246378,0,0,,0.0,0.0,100000.0,0.0
2025-08-07,263.05,,,8.345655672569173,0,0,,0.0,0.0,100000.0,0.0
