交易日期,收盘价,上轨(前10日高),下轨(前5日低),ATR,信号(1买/-1卖/0无),持仓(1/0),退出原因,策略日收益率,累计收益率,策略净值,回撤幅度
2025-07-04,265.8,,,9.0,0,0,,0.0,0.0,100000.0,0.0
2025-07-07,260.89,,,9.1,0,0,,0.0,0.0,100000.0,0.0
2025-07-08,263.31,,,8.797999999999998,0,0,,0.0,0.0,100000.0,0.0
2025-07-09,270.8,,,9.154199999999994,0,0,,0.0,0.0,100000.0,0.0
2025-07-10,272.0,,,8.887779999999996,0,0,,0.0,0.0,100000.0,0.0
2025-07-11,271.5,,258.88,8.389001999999994,0,0,,0.0,0.0,100000.0,0.0
2025-07-14,268.5,,258.88,8.090101799999992,0,0,,0.0,0.0,100000.0,0.0
2025-07-15,267.75,,259.82,7.931091619999993,0,0,,0.0,0.0,100000.0,0.0
2025-07-16,264.4,,262.1,7.703982457999991,0,0,,0.0,0.0,100000.0,0.0
2025-07-17,265.5,,263.04,7.27258421219999,0,0,,0.0,0.0,100000.0,0.0
2025-07-18,271.2,274.99,263.04,7.24032579097999,0,0,,0.0,0.0,100000.0,0.0
2025-07-21,279.66,274.99,263.04,7.596293211881993,1,1,,0.0,0.0,100000.0,0.0
2025-07-22,286.66,282.0,263.04,7.918663890693793,0,1,,0.0091699999999999,0.0091699999999999,100917.0,0.0
2025-07-23,287.02,290.0,263.04,7.542797501624416,0,1,,0.00046731472398109375,0.009641599999999917,100964.15999999999,0.0
2025-07-24,285.2,290.75,264.36,7.417517751461971,0,1,,-0.002361432017064291,0.007257399999999858,100725.73999999999,-0.002361432017064256
2025-07-25,282.8,290.75,265.8,7.020765976315773,0,1,,-0.003121347135300212,0.004113399999999823,100411.34,-0.005475408303302801
2025-07-28,286.3,290.75,273.55,7.097689378684192,0,1,,0.004566217321668953,0.008698399999999662,100869.84,-0.0009341928858715057
2025-07-29,291.82,290.75,279.18,6.957920440815772,0,1,,0.007168842540049569,0.015929599999999544,101592.95999999999,0.0
2025-07-30,277.09,292.0,281.3,7.846128396734192,-1,0,channel_exit,-0.018993737361329033,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-07-31,264.62,292.2,276.36,8.797515557060775,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-01,263.07,292.2,264.62,8.3027640013547,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-04,266.48,292.2,262.75,8.10248760121923,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-05,265.7,292.2,261.7,7.842238841097308,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-06,265.0,292.2,261.7,7.425014956987574,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-07,263.05,292.2,261.7,7.111513461288818,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
2025-08-08,263.48,292.2,261.7,6.81536211515994,0,0,,0.0,-0.0033667000000005,99663.32999999999,-0.018993737361329022
