短均线,长均线,累计收益,年化收益,年化波动,夏普,索提诺,最大回撤,最大回撤时长(日),基准累计,基准年化,基准波动,基准最大回撤,交易次数,日胜率,VaR95,VaR99,CVaR95,Beta,年化换手率,Calmar
15,20,6.083905447008836,0.4033389920842767,0.2809711009044253,1.237406182909613,0.08875386985883385,-0.3916514199283962,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,53,0.16483516483516483,-0.02249154949926649,-0.04518630618254592,-0.03687667349581056,0.36288014153212966,9.173076923076923,1.0298417714354702
10,30,5.6798185983436325,0.38914548306515995,0.28085101120520406,1.2019339293039897,0.07773781958312723,-0.20367888057763808,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,29,0.15315934065934067,-0.02267519309941088,-0.0477882217975136,-0.03828052719423912,0.356678452945485,5.019230769230769,1.9105833749750305
8,20,5.344206172406523,0.37680676793856427,0.27754789616724806,1.1802985789525453,0.08652194010913881,-0.3008558578742453,764,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,44,0.15865384615384615,-0.02379480069330328,-0.043750934269348986,-0.03625646339967545,0.3316679208989233,7.615384615384616,1.2524494972475015
5,20,5.537557856684579,0.3839793609808164,0.2881960522322286,1.1651256574066238,0.08528587896306053,-0.3253809516461844,764,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,48,0.16414835164835165,-0.024359775108486387,-0.049269719630519244,-0.0380518698534297,0.3601185915965519,8.307692307692308,1.1800917018595214
10,20,4.489846960126351,0.3427674667444969,0.25753463028369056,1.1541109175402304,0.08014401780183991,-0.2949353514108661,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,46,0.13873626373626374,-0.021168091233515318,-0.04139787810976921,-0.03354799657188713,0.2918571723929562,7.961538461538462,1.1621783048550096
8,30,4.924499029924113,0.3605927961527049,0.281699352809114,1.1252777330097437,0.07525994439640445,-0.2757418885187213,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,32,0.1565934065934066,-0.02360354586766014,-0.0477882217975136,-0.03830833769031699,0.35411837031814275,5.538461538461538,1.3077185990485545
8,40,4.802513081277241,0.35570229074117043,0.28454144908822354,1.1042935485771765,0.07006105844952605,-0.21627854066368268,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,22,0.1504120879120879,-0.023043574620419865,-0.05032450772568601,-0.0397795874448755,0.36783211691293005,3.807692307692308,1.6446490236601623
20,30,4.338933533550917,0.33630498646477425,0.27756796305422826,1.0731525250088558,0.06754839776044706,-0.235099021127428,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,23,0.14766483516483517,-0.02188036340009758,-0.05155676071901078,-0.03892664187755124,0.3430549002666817,3.980769230769231,1.4304822914702429
5,40,4.5440769824561205,0.3450538695920924,0.2864100241170374,1.0714968333450996,0.0667361191782283,-0.23944268287007855,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,24,0.1504120879120879,-0.023043574620419865,-0.05195434605926435,-0.04025038675502897,0.3756849587828868,4.153846153846154,1.4410708460835213
10,40,4.456947919149953,0.34137128596706434,0.2848313319807354,1.0661218353467237,0.06761770041976876,-0.25436733161884995,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,20,0.14903846153846154,-0.023043574620419865,-0.05032450772568601,-0.0400360454060477,0.3701167301965492,3.4615384615384617,1.3420405985096513
15,40,4.692294000859541,0.3512098605679741,0.2962154002563589,1.0610682343703022,0.06638126689796482,-0.36735534757784466,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,12,0.1559065934065934,-0.023186100037585533,-0.054036132237646646,-0.04209433607740768,0.4243092862050685,2.076923076923077,0.9560494025299325
5,30,4.286564336150626,0.3340270873873137,0.2893468594201489,1.034971266300976,0.06789510044238956,-0.2747817638485887,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,38,0.16071428571428573,-0.02379480069330328,-0.05239391894748603,-0.04017161858829067,0.38123673824653487,6.576923076923077,1.2156086441433958
15,30,4.083810194483626,0.32502806170370513,0.2816468269595226,1.0313627010566389,0.06814867265967232,-0.37087546701445134,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,21,0.15247252747252749,-0.02267519309941088,-0.05032450772568601,-0.0387451347623783,0.3586298171987105,3.6346153846153846,0.8763805929795843
8,120,6.188308051402184,0.40689702100796876,0.36771698752088244,1.0285314871049818,0.07892185291134529,-0.36735534757784444,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,17,0.24793956043956045,-0.030592309789281347,-0.06158415756361702,-0.050285901732300464,0.8283294304611029,2.9423076923076925,1.1076387581965041
10,120,6.1710080703553,0.4063104062351863,0.3674547189753035,1.0278687381481653,0.07867234778624825,-0.3678780794215823,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,13,0.24656593406593408,-0.030592309789281347,-0.06158415756361702,-0.050285901732300464,0.8304490113261328,2.25,1.104470282312095
20,40,4.054735255708017,0.323713372663591,0.28352034004374194,1.0233497286198732,0.059705492739157866,-0.321727245928345,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,10,0.14148351648351648,-0.02267519309941088,-0.05195434605926435,-0.04131781674965408,0.3661037772431842,1.7307692307692308,1.0061733246418563
5,60,3.9394450001454127,0.31843790509397363,0.291307000286792,0.9899498116600625,0.059329212359216434,-0.31738495745152306,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,14,0.15178571428571427,-0.023186100037585533,-0.054036132237646646,-0.042288851766275885,0.4027968575974537,2.423076923076923,1.0033175726124681
20,120,5.0244676336270375,0.3645389114380302,0.3443572643173808,0.9860060875831671,0.07332373227520955,-0.3836945651369286,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,8,0.22596153846153846,-0.02966504635747702,-0.05818813991995518,-0.04898948073728025,0.6110393485920732,1.3846153846153846,0.9500757752665525
5,120,5.457517198983747,0.38103172922074924,0.3745109715651881,0.9669888732342589,0.07644021401400498,-0.40746591283454536,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,17,0.25961538461538464,-0.032070727309156416,-0.06158415756361702,-0.05116328494138898,0.8608674411296529,2.9423076923076925,0.9351254110315482
15,120,5.24938010923217,0.37322281092924325,0.37132367969987434,0.9568040650644022,0.07436609012193386,-0.433218518470634,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,11,0.24931318681318682,-0.0316067536458835,-0.06158415756361702,-0.05112884141456848,0.8406736981487032,1.903846153846154,0.8615116737087093
8,60,3.358436806814442,0.2901891925535869,0.29241934541335063,0.9132352613579237,0.0541727217758766,-0.35028443604176,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,14,0.15178571428571427,-0.02360354586766014,-0.0556487682796874,-0.0429808846833529,0.40322332204632105,2.423076923076923,0.8284387277743372
10,60,3.197639495978441,0.28182226895830587,0.29298087796486244,0.8899139592659401,0.05214019515719502,-0.35358947494277715,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,14,0.15178571428571427,-0.023186100037585533,-0.05619535756297407,-0.043525659286203534,0.41028464195972253,2.423076923076923,0.7970324031955824
15,60,2.908158182862413,0.26606707681416064,0.3028525269779361,0.8296845215754597,0.05189625217529721,-0.35654103768393824,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,12,0.16346153846153846,-0.02560348810109131,-0.05619535756297407,-0.04494556548361473,0.4456441442979986,2.076923076923077,0.7462453089341716
20,60,2.490329416929285,0.24153123211234173,0.3031476116336024,0.7646269797080378,0.047583953065229126,-0.3673553475778444,747,2.6111865327179062,0.24886741032601667,0.49274215837578567,-0.7954215116279069,12,0.16071428571428573,-0.025310286516295744,-0.0568564393333295,-0.0452338508124654,0.4650675694083454,2.076923076923077,0.6574866371345257
